model,layer,patch,ctrl_mean,ctrl_std,adhd_mean,adhd_std,n_seeds
ExpB,0,20,0.036909282207489014,0.003500110236927867,0.03840462490916252,0.0026756010483950377,5
ExpB,0,21,0.03768541291356087,0.0015765632269904017,0.03890945389866829,0.0015177311142906547,5
ExpB,0,22,0.03775213658809662,0.003328812774270773,0.04070268198847771,0.0031629714649170637,5
ExpB,0,23,0.04969194531440735,0.0053954715840518475,0.05859715864062309,0.007465957198292017,5
ExpB,1,0,0.08654419332742691,0.030789924785494804,0.06938411295413971,0.01845565252006054,5
ExpB,1,1,0.06334163248538971,0.013714294880628586,0.05286525562405586,0.008825285360217094,5
ExpB,1,2,0.05655742809176445,0.012883516028523445,0.04862840101122856,0.008284646086394787,5
ExpB,1,3,0.051218967884778976,0.012968567200005054,0.047858547419309616,0.006719635799527168,5
ExpB,1,4,0.03725283220410347,0.0059354668483138084,0.03783859685063362,0.0034163575619459152,5
ExpB,1,5,0.03537094593048096,0.008790514431893826,0.04191272705793381,0.009818696416914463,5
ExpB,1,6,0.04348703846335411,0.026927458122372627,0.04321135953068733,0.012786347419023514,5
ExpB,1,7,0.025133926421403885,0.006141443271189928,0.03276434540748596,0.003492067102342844,5
ExpB,1,8,0.0419471301138401,0.01194485928863287,0.04703774303197861,0.012289589270949364,5
ExpB,1,9,0.023573817685246468,0.006476421374827623,0.03278440237045288,0.006487278733402491,5
ExpB,1,10,0.01999077759683132,0.002763587050139904,0.027958640828728676,0.003370403777807951,5
ExpB,1,11,0.021209565922617912,0.006490010302513838,0.02592737413942814,0.004609142895787954,5
ExpB,1,12,0.02708778902888298,0.01830444112420082,0.030706336721777916,0.009154919534921646,5
ExpB,1,13,0.021269280463457108,0.010758757591247559,0.026390302926301956,0.006620733067393303,5
ExpB,1,14,0.019029982388019562,0.0014277666341513395,0.024617541581392288,0.0010464582592248917,5
ExpB,1,15,0.0185572300106287,0.004529375582933426,0.02440117485821247,0.0034883746411651373,5
