model,layer,patch,ctrl_mean,ctrl_std,adhd_mean,adhd_std,n_seeds,protocol
ExpC,0,19,0.03974590077996254,0.0015634711598977447,0.0390855073928833,0.0032629489433020353,3,LOSO_full
ExpC,0,20,0.03569520637392998,0.0045903874561190605,0.037692952901124954,0.002886765170842409,3,LOSO_full
ExpC,0,21,0.03380884230136871,0.0007792946416884661,0.03390887752175331,0.000977694639004767,3,LOSO_full
ExpC,0,22,0.039445627480745316,0.004219824448227882,0.03988702595233917,0.005861538462340832,3,LOSO_full
ExpC,0,23,0.05424753949046135,0.007471669465303421,0.05230139568448067,0.01044759713113308,3,LOSO_full
ExpC,1,0,0.04757662117481232,0.0018102569738402963,0.04486989974975586,0.0006655662436969578,3,LOSO_full
ExpC,1,1,0.04558470472693443,0.0006992738926783204,0.04364212974905968,0.0002456354850437492,3,LOSO_full
ExpC,1,2,0.04460681602358818,0.0003120671317446977,0.043582767248153687,0.0009719447698444128,3,LOSO_full
ExpC,1,3,0.04431319609284401,0.001304937293753028,0.04108916595578194,0.0006758746458217502,3,LOSO_full
ExpC,1,4,0.04088737070560455,0.0003630289575085044,0.03973615542054176,0.00040988987893797457,3,LOSO_full
ExpC,1,5,0.04320446029305458,0.00042082363506779075,0.04347282275557518,0.0015570548130199313,3,LOSO_full
ExpC,1,6,0.039714355021715164,0.0002790135331451893,0.041646797209978104,0.0017010722076520324,3,LOSO_full
ExpC,1,7,0.04116665944457054,0.0006988603854551911,0.04157375916838646,0.0011530698975548148,3,LOSO_full
ExpC,1,8,0.04100627079606056,0.0004687603213824332,0.042239103466272354,0.0007559455698356032,3,LOSO_full
ExpC,1,9,0.03967144340276718,0.0006694254116155207,0.040169838815927505,0.0006800396367907524,3,LOSO_full
ExpC,1,10,0.0387125127017498,0.0005376963526941836,0.03941429778933525,0.0005858457298018038,3,LOSO_full
ExpC,1,11,0.03846614062786102,0.000350551592418924,0.0389036126434803,0.00011178375279996544,3,LOSO_full
ExpC,1,12,0.03959346190094948,0.000498656474519521,0.04097586125135422,0.0007645857403986156,3,LOSO_full
ExpC,1,13,0.03957201912999153,0.0007618911913596094,0.03995182737708092,0.0006218883208930492,3,LOSO_full
ExpC,1,14,0.038588304072618484,0.0005732625140808523,0.03890379145741463,0.00027853186475113034,3,LOSO_full
ExpC,1,15,0.03897630795836449,0.00011242314212722704,0.03891533240675926,0.0003606508835218847,3,LOSO_full
ExpC,1,16,0.038830067962408066,0.0004316650447435677,0.03925521299242973,5.946812962065451e-05,3,LOSO_full
ExpC,1,17,0.038602013140916824,0.0005420410307124257,0.03907657414674759,0.00022349187929648906,3,LOSO_full
ExpC,1,18,0.03932921215891838,0.0006024272879585624,0.0401013121008873,0.00036710797576233745,3,LOSO_full
ExpC,1,19,0.039652809500694275,0.0006559346802532673,0.04002681374549866,0.0003854547976516187,3,LOSO_full
ExpC,1,20,0.04150105640292168,0.0019609122537076473,0.04164152219891548,0.0003645670658443123,3,LOSO_full
ExpC,1,21,0.03987541422247887,0.0006880518631078303,0.04075378552079201,0.0006546156364493072,3,LOSO_full
ExpC,1,22,0.04115152359008789,0.00034236995270475745,0.04519791528582573,0.0013104081153869629,3,LOSO_full
ExpC,1,23,0.05941728875041008,0.004015956539660692,0.054859708994627,0.0009838375262916088,3,LOSO_full
